sample-id	read_file	Timepoint	Description
Cont-T0-1	Cont-T0-1_S1_L001_R1_001.fastq.gz	T0	Control
Cont-T0-2	Cont-T0-2_S2_L001_R1_001.fastq.gz	T0	Control
Cont-T0-3	Cont-T0-3_S3_L001_R1_001.fastq.gz	T0	Control
Cont-T1-1	Cont-T1-1_S4_L001_R1_001.fastq.gz	T1	Control
Cont-T1-2	Cont-T1-2_S5_L001_R1_001.fastq.gz	T1	Control
Cont-T1-3	Cont-T1-3_S6_L001_R1_001.fastq.gz	T1	Control
Cont-T2-1	Cont-T2-1_S10_L001_R1_001.fastq.gz	T2	Control
Cont-T2-2	Cont-T2-2_S11_L001_R1_001.fastq.gz	T2	Control
Cont-T2-3	Cont-T2-3_S12_L001_R1_001.fastq.gz	T2	Control
TRD-T1-1	TRD-T1-1_S7_L001_R1_001.fastq.gz	T1	Treated
TRD-T1-2	TRD-T1-2_S8_L001_R1_001.fastq.gz	T1	Treated
TRD-T1-3	TRD-T1-3_S9_L001_R1_001.fastq.gz	T1	Treated
TRD-T2-1	TRD-T2-1_S13_L001_R1_001.fastq.gz	T2	Treated
TRD-T2-2	TRD-T2-2_S14_L001_R1_001.fastq.gz	T2	Treated
TRD-T2-3	TRD-T2-3_S15_L001_R1_001.fastq.gz	T2	Treated
